Source,Target,Type,weight,year
mapping,NoC for architecture,Directed,1,2018
mapping,NoC for different applications ,Directed,1,2018
mapping,reconfiguration,Directed,1,2018
mapping,reconfiguration,Directed,1,2018
mapping,topology,Directed,1,2018
security,Process Variation,Directed,1,2018
security,GALS,Directed,1,2018
Hardware Trojans,Process Variation,Directed,1,2018
Hardware Trojans,GALS,Directed,1,2018
security,emerge technology,Directed,1,2018
Hardware Trojans,emerge technology,Directed,1,2018
security,router design,Directed,1,2018
security,emerge technology,Directed,1,2018
Hardware Trojans,router design,Directed,1,2018
Hardware Trojans,emerge technology,Directed,1,2018
security,side-channel attack,Directed,1,2018
security,security,Directed,1,2018
Hardware Trojans,side-channel attack,Directed,1,2018
Hardware Trojans,security,Directed,1,2018
security,Link,Directed,1,2018
security,deadlock,Directed,1,2018
security,Design space Exploration,Directed,1,2018
Hardware Trojans,Link,Directed,1,2018
Hardware Trojans,deadlock,Directed,1,2018
Hardware Trojans,Design space Exploration,Directed,1,2018
security,emerge technology,Directed,1,2018
security,Emulation and Simulation/Simulator,Directed,1,2018
Hardware Trojans,emerge technology,Directed,1,2018
Hardware Trojans,Emulation and Simulation/Simulator,Directed,1,2018
router design,reconfiguration,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,reconfiguration,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,reconfiguration,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,reconfiguration,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,reconfiguration,Directed,1,2018
deadlock,reconfiguration,Directed,1,2018
router design,deadlock,Directed,1,2018
router design,mapping,Directed,1,2018
router design,Routing,Directed,1,2018
router design,topology,Directed,1,2018
deadlock,deadlock,Directed,1,2018
deadlock,mapping,Directed,1,2018
deadlock,Routing,Directed,1,2018
deadlock,topology,Directed,1,2018
router design,deadlock,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,deadlock,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,Design space Exploration,Directed,1,2018
deadlock,Design space Exploration,Directed,1,2018
router design,Routing,Directed,1,2018
router design,power consumption,Directed,1,2018
router design,flow control,Directed,1,2018
router design,performance,Directed,1,2018
deadlock,Routing,Directed,1,2018
deadlock,power consumption,Directed,1,2018
deadlock,flow control,Directed,1,2018
deadlock,performance,Directed,1,2018
router design,flow control,Directed,1,2018
router design,deadlock,Directed,1,2018
deadlock,flow control,Directed,1,2018
deadlock,deadlock,Directed,1,2018
router design,router design,Directed,1,2018
router design,topology,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,router design,Directed,1,2018
deadlock,topology,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,Routing,Directed,1,2018
deadlock,Routing,Directed,1,2018
router design,Emulation and Simulation/Simulator,Directed,1,2018
router design,router design,Directed,1,2018
router design,NoC for memory,Directed,1,2018
router design,flow control,Directed,1,2018
deadlock,Emulation and Simulation/Simulator,Directed,1,2018
deadlock,router design,Directed,1,2018
deadlock,NoC for memory,Directed,1,2018
deadlock,flow control,Directed,1,2018
Routing,Reliability,Directed,1,2017
flow control,Reliability,Directed,1,2017
Routing,chip implementation,Directed,1,2017
flow control,chip implementation,Directed,1,2017
Routing,Routing,Directed,1,2017
Routing,router design,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,router design,Directed,1,2017
Routing,power/thermal management,Directed,1,2017
flow control,power/thermal management,Directed,1,2017
Routing,emerge technology,Directed,1,2017
flow control,emerge technology,Directed,1,2017
Routing,emerge technology,Directed,1,2017
flow control,emerge technology,Directed,1,2017
Routing,flow control,Directed,1,2017
Routing,topology,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,topology,Directed,1,2017
Routing,GALS,Directed,1,2017
Routing,flow control,Directed,1,2017
Routing,power consumption,Directed,1,2017
flow control,GALS,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,power consumption,Directed,1,2017
Routing,flow control,Directed,1,2017
Routing,router design,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,router design,Directed,1,2017
Routing,flow control,Directed,1,2017
Routing,router design,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,router design,Directed,1,2017
Routing,Routing,Directed,1,2017
Routing,multicast,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,multicast,Directed,1,2017
Routing,Routing,Directed,1,2017
Routing,flow control,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,flow control,Directed,1,2017
Routing,Routing,Directed,1,2017
flow control,Routing,Directed,1,2017
NoC for manycore,mapping,Directed,1,2018
NoC for manycore,testing and diagnosis,Directed,1,2018
NoC for manycore,emerge technology,Directed,1,2018
NoC for manycore,emerge technology,Directed,1,2018
NoC for manycore,testing and diagnosis,Directed,1,2018
NoC for manycore,testing and diagnosis,Directed,1,2018
NoC for manycore,emerge technology,Directed,1,2018
NoC for manycore,topology,Directed,1,2018
flow control,flow control,Directed,1,2018
flow control,topology,Directed,1,2018
flow control,Routing,Directed,1,2018
flow control,deadlock avoidance,Directed,1,2018
flow control,deadlock,Directed,1,2018
flow control,Routing,Directed,1,2018
router design,router design,Directed,1,2017
router design,flow control,Directed,1,2017
Design space Exploration,mapping,Directed,1,2017
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,topology,Directed,1,2018
NoC for SiP,flow control,Directed,1,2018
NoC for SiP,topology,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,NoC for SiP,Directed,1,2018
NoC for SiP,NoC for SiP,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,Emulation and Simulation/Simulator,Directed,1,2018
NoC for SiP,Process Variation,Directed,1,2018
NoC for SiP,GALS,Directed,1,2018
NoC for SiP,topology,Directed,1,2018
NoC for SiP,NoC for memory,Directed,1,2018
NoC for SiP,Emulation and Simulation/Simulator,Directed,1,2018
NoC for SiP,router design,Directed,1,2018
NoC for SiP,NoC for memory,Directed,1,2018
NoC for SiP,flow control,Directed,1,2018
NoC for SiP,Design space Exploration,Directed,1,2018
NoC for SiP,reconfiguration,Directed,1,2018
NoC for SiP,power consumption,Directed,1,2018
NoC for SiP,performance,Directed,1,2018
NoC for SiP,flow control,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,topology,Directed,1,2018
NoC for SiP,Routing,Directed,1,2018
NoC for SiP,deadlock,Directed,1,2018
NoC for SiP,Emulation and Simulation/Simulator,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
NoC for SiP,topology,Directed,1,2018
NoC for SiP,Reliability,Directed,1,2018
NoC for SiP,emerge technology,Directed,1,2018
topology,mapping,Directed,1,2017
topology,3D NoC,Directed,1,2017
topology,mapping,Directed,1,2017
topology,heuristic,Directed,1,2017
topology,mapping,Directed,1,2017
topology,topology,Directed,1,2017
topology,temperature,Directed,1,2017
topology,mapping,Directed,1,2017
NoC for architecture,NoC for different applications,Directed,1,2017
NoC for architecture,Link,Directed,1,2017
NoC for architecture,reconfiguration,Directed,1,2017
NoC for architecture,mapping,Directed,1,2017
NoC for architecture,Routing,Directed,1,2017
emerge technology,emerge technology,Directed,1,2017
emerge technology,flow control,Directed,1,2017
emerge technology,Routing,Directed,1,2017
emerge technology,flow control,Directed,1,2017
emerge technology,Emulation and Simulation/Simulator,Directed,1,2017
emerge technology,topology,Directed,1,2017
emerge technology,Routing,Directed,1,2017
emerge technology,flow control,Directed,1,2017
emerge technology,router design,Directed,1,2017
Process Variation,flow control,Directed,1,2017
GALS,flow control,Directed,1,2017
Process Variation,Link,Directed,1,2017
Process Variation,deadlock,Directed,1,2017
Process Variation,Design space Exploration,Directed,1,2017
GALS,Link,Directed,1,2017
GALS,deadlock,Directed,1,2017
GALS,Design space Exploration,Directed,1,2017
Process Variation,power management,Directed,1,2017
GALS,power management,Directed,1,2017
Process Variation,emerge technology,Directed,1,2017
Process Variation,Emulation and Simulation/Simulator,Directed,1,2017
GALS,emerge technology,Directed,1,2017
GALS,Emulation and Simulation/Simulator,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,deadlock,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,router design,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,Bufferless,Directed,1,2017
flow control,Routing,Directed,1,2017
flow control,power consumption,Directed,1,2017
flow control,flow control,Directed,1,2017
flow control,performance,Directed,1,2017
flow control,topology,Directed,1,2017
flow control,NoC for manycore,Directed,1,2017
flow control,topology,Directed,1,2017
flow control,NoC for manycore,Directed,1,2017
flow control,modeling,Directed,1,2017
Reconfiguration,modeling,Directed,1,2017
Reconfiguration,Emulation and Simulation/Simulator,Directed,1,2017
Reconfiguration,NoC for memory,Directed,1,2017
Reconfiguration,reconfiguration,Directed,1,2017
Reconfiguration,flow control,Directed,1,2017
Reconfiguration,reconfiguration,Directed,1,2017
Reconfiguration,power consumption,Directed,1,2017
Reconfiguration,performance,Directed,1,2017
Reconfiguration,flow control,Directed,1,2017
Reconfiguration,topology,Directed,1,2017
Reconfiguration,NoC for memory,Directed,1,2017
Reconfiguration,NoC for manycore,Directed,1,2017
Reconfiguration,Emulation and Simulation/Simulator,Directed,1,2017
Reconfiguration,topology,Directed,1,2017
Reconfiguration,Routing,Directed,1,2017
Reconfiguration,flow control,Directed,1,2017
Reconfiguration,router design,Directed,1,2017
Reconfiguration,reconfiguration,Directed,1,2017
Reconfiguration,Routing,Directed,1,2017
Reconfiguration,emerge technology,Directed,1,2017
Reconfiguration,Emulation and Simulation/Simulator,Directed,1,2017
Reconfiguration,power/thermal management,Directed,1,2017
Reconfiguration,emerging devices/transistors,Directed,1,2017
Reconfiguration,drowsy,Directed,1,2017
mapping,router design,Directed,1,2017
mapping,NoC for FPGA,Directed,1,2017
mapping,topology,Directed,1,2017
mapping,Link,Directed,1,2017
mapping,router design,Directed,1,2017
emerge technology,topology,Directed,1,2017
emerge technology,emerge technology,Directed,1,2017
3D NoC,topology,Directed,1,2017
3D NoC,emerge technology,Directed,1,2017
topology,topology,Directed,1,2017
topology,emerge technology,Directed,1,2017
emerge technology,emerge technology,Directed,1,2017
emerge technology,Emulation and Simulation/Simulator,Directed,1,2017
3D NoC,emerge technology,Directed,1,2017
3D NoC,Emulation and Simulation/Simulator,Directed,1,2017
topology,emerge technology,Directed,1,2017
topology,Emulation and Simulation/Simulator,Directed,1,2017
NoC for architecture,emerge technology,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,Routing,Directed,1,2016
NoC for real-time (critical) systems,router design,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,mapping,Directed,1,2016
NoC for real-time (critical) systems,modeling,Directed,1,2016
NoC for real-time (critical) systems,router design,Directed,1,2016
NoC for real-time (critical) systems,chip implementation,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,router design,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,QoS,Directed,1,2016
NoC for real-time (critical) systems,NoC for different applications,Directed,1,2016
NoC for real-time (critical) systems,NoC for manycore,Directed,1,2016
NoC for real-time (critical) systems,topology,Directed,1,2016
NoC for real-time (critical) systems,NoC for manycore,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,flow control,Directed,1,2016
NoC for real-time (critical) systems,Emulation and Simulation/Simulator,Directed,1,2016
distributed,Emulation and Simulation/Simulator,Directed,1,2014
Debug,Emulation and Simulation/Simulator,Directed,1,2014
distributed,Routing,Directed,1,2014
distributed,router design,Directed,1,2014
distributed,deadlock,Directed,1,2014
Debug,Routing,Directed,1,2014
Debug,router design,Directed,1,2014
Debug,deadlock,Directed,1,2014
energy delay product,Emulation and Simulation/Simulator,Directed,1,2014
energy delay product,topology,Directed,1,2014
energy delay product,Routing,Directed,1,2014
energy delay product,flow control,Directed,1,2014
energy delay product,router design,Directed,1,2014
energy delay product,Emulation and Simulation/Simulator,Directed,1,2014
energy delay product,NoC for manycore,Directed,1,2014
energy delay product,router design,Directed,1,2014
energy delay product,topology,Directed,1,2014
Routing,emerge technology,Directed,1,2013
Routing,topology,Directed,1,2013
emerge technology,router design,Directed,1,2018
approximate NoC,router design,Directed,1,2018
NoC for GPU,router design,Directed,1,2018
emerge technology,approximate NoC,Directed,1,2018
emerge technology,compression,Directed,1,2018
approximate NoC,approximate NoC,Directed,1,2018
approximate NoC,compression,Directed,1,2018
NoC for GPU,approximate NoC,Directed,1,2018
NoC for GPU,compression,Directed,1,2018
emerge technology,reconfiguration,Directed,1,2018
approximate NoC,reconfiguration,Directed,1,2018
NoC for GPU,reconfiguration,Directed,1,2018
emerge technology,emerge technology,Directed,1,2018
emerge technology,Emulation and Simulation/Simulator,Directed,1,2018
approximate NoC,emerge technology,Directed,1,2018
approximate NoC,Emulation and Simulation/Simulator,Directed,1,2018
NoC for GPU,emerge technology,Directed,1,2018
NoC for GPU,Emulation and Simulation/Simulator,Directed,1,2018
emerge technology,emerge technology,Directed,1,2018
approximate NoC,emerge technology,Directed,1,2018
NoC for GPU,emerge technology,Directed,1,2018
emerge technology,emerge technology,Directed,1,2018
approximate NoC,emerge technology,Directed,1,2018
NoC for GPU,emerge technology,Directed,1,2018
Reliability,NoC for manycore,Directed,1,2016
Reliability,flow control,Directed,1,2016
Reliability,router design,Directed,1,2016
Reliability,NoC for manycore,Directed,1,2016
Reliability,topology,Directed,1,2016
Reliability,NoC for manycore,Directed,1,2016
Reliability,flow control,Directed,1,2016
Reliability,deadlock,Directed,1,2016
Reliability,Reliability,Directed,1,2016
Reliability,emerge technology,Directed,1,2016
Reliability,Reliability,Directed,1,2016
Reliability,testing and diagnosis,Directed,1,2016
Reliability,Reliability,Directed,1,2016
Reliability,Routing,Directed,1,2016
Reliability,Reliability,Directed,1,2016
Reliability,Reliability,Directed,1,2016
Reliability,Routing,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,modeling,Directed,1,2016
Design space Exploration,Emulation and Simulation/Simulator,Directed,1,2016
Design space Exploration,NoC for memory,Directed,1,2016
Routing,mapping,Directed,1,2018
Routing,router design,Directed,1,2018
Routing,topology,Directed,1,2018
Routing,Routing,Directed,1,2018
Routing,flow control,Directed,1,2018
Routing,Routing,Directed,1,2018
Routing,power consumption,Directed,1,2018
Routing,flow control,Directed,1,2018
Routing,performance,Directed,1,2018
Routing,flow control,Directed,1,2018
Routing,deadlock,Directed,1,2018
Routing,Routing,Directed,1,2018
Routing,router design,Directed,1,2018
Routing,Routing,Directed,1,2018
Routing,multicast,Directed,1,2018
emerge technology,mapping,Directed,1,2016
Link,mapping,Directed,1,2016
emerge technology,mapping,Directed,1,2016
emerge technology,flow control,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
Link,flow control,Directed,1,2016
Link,NoC for memory,Directed,1,2016
emerge technology,flow control,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
emerge technology,emerge technology,Directed,1,2016
Link,NoC for memory,Directed,1,2016
Link,emerge technology,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
emerge technology,emerge technology,Directed,1,2016
emerge technology,flow control,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
Link,flow control,Directed,1,2016
Link,NoC for memory,Directed,1,2016
emerge technology,flow control,Directed,1,2016
emerge technology,NoC for memory,Directed,1,2016
emerge technology,topology,Directed,1,2016
emerge technology,router design,Directed,1,2016
Link,topology,Directed,1,2016
Link,router design,Directed,1,2016
emerge technology,topology,Directed,1,2016
emerge technology,router design,Directed,1,2016
emerge technology,NoC for architecture,Directed,1,2016
Link,NoC for architecture,Directed,1,2016
emerge technology,NoC for architecture,Directed,1,2016
NoC for memory,NoC for manycore,Directed,1,2018
NoC for memory,topology,Directed,1,2018
NoC for memory,NoC for manycore,Directed,1,2018
NoC for memory,Routing,Directed,1,2018
NoC for memory,flow control,Directed,1,2018
NoC for memory,performance,Directed,1,2018
NoC for memory,NoC for memory,Directed,1,2018
NoC for memory,QoS,Directed,1,2018
NoC for memory,flow control,Directed,1,2018
NoC for memory,router design,Directed,1,2018
NoC for memory,Emulation and Simulation/Simulator,Directed,1,2018
NoC for memory,router design,Directed,1,2018
NoC for memory,NoC for memory,Directed,1,2018
NoC for memory,flow control,Directed,1,2018
NoC for different applications,topology,Directed,1,2016
NoC for different applications,emerge technology,Directed,1,2016
NoC for real-time systems,topology,Directed,1,2016
NoC for real-time systems,NoC for manycore,Directed,1,2016
delay model,topology,Directed,1,2016
delay model,NoC for manycore,Directed,1,2016
NoC for real-time systems,Routing,Directed,1,2016
delay model,Routing,Directed,1,2016
NoC for real-time systems,flow control,Directed,1,2016
NoC for real-time systems,NoC for real-time systems,Directed,1,2016
delay model,flow control,Directed,1,2016
delay model,NoC for real-time systems,Directed,1,2016
NoC for real-time systems,flow control,Directed,1,2016
NoC for real-time systems,QoS,Directed,1,2016
delay model,flow control,Directed,1,2016
delay model,QoS,Directed,1,2016
NoC for real-time systems,NoC for different applications,Directed,1,2016
delay model,NoC for different applications,Directed,1,2016
NoC for real-time systems,QoS,Directed,1,2016
NoC for real-time systems,topology,Directed,1,2016
NoC for real-time systems,Routing,Directed,1,2016
NoC for real-time systems,flow control,Directed,1,2016
delay model,QoS,Directed,1,2016
delay model,topology,Directed,1,2016
delay model,Routing,Directed,1,2016
delay model,flow control,Directed,1,2016
Routing,mapping,Directed,1,2018
Routing,mapping,Directed,1,2018
NoC for FPGA,mapping,Directed,1,2018
NoC for FPGA,mapping,Directed,1,2018
architecture,mapping,Directed,1,2018
Routing,emerge technology,Directed,1,2018
Routing,topology,Directed,1,2018
Routing,emerge technology,Directed,1,2018
Routing,topology,Directed,1,2018
NoC for FPGA,emerge technology,Directed,1,2018
NoC for FPGA,topology,Directed,1,2018
NoC for FPGA,emerge technology,Directed,1,2018
NoC for FPGA,topology,Directed,1,2018
architecture,emerge technology,Directed,1,2018
architecture,topology,Directed,1,2018
Routing,flow control,Directed,1,2018
Routing,flow control,Directed,1,2018
NoC for FPGA,flow control,Directed,1,2018
NoC for FPGA,flow control,Directed,1,2018
architecture,flow control,Directed,1,2018
Routing,router design,Directed,1,2018
Routing,router design,Directed,1,2018
NoC for FPGA,router design,Directed,1,2018
NoC for FPGA,router design,Directed,1,2018
architecture,router design,Directed,1,2018
Reconfiguration,flow control,Directed,1,2016
Reconfiguration,NI design,Directed,1,2016
flow control,flow control,Directed,1,2016
flow control,NI design,Directed,1,2016
Reconfiguration,chip implementation,Directed,1,2016
flow control,chip implementation,Directed,1,2016
Reconfiguration,modeling,Directed,1,2016
Reconfiguration,mapping,Directed,1,2016
Reconfiguration,scheduling,Directed,1,2016
flow control,modeling,Directed,1,2016
flow control,mapping,Directed,1,2016
flow control,scheduling,Directed,1,2016
security,emerge technology,Directed,1,2018
security,security,Directed,1,2018
security,NoC for memory,Directed,1,2018
security,security,Directed,1,2018
security,NoC for different applications,Directed,1,2018
security,emerge technology,Directed,1,2018
security,Emulation and Simulation/Simulator,Directed,1,2018
emerge technology,topology,Directed,1,2018
emerge technology,NoC for manycore,Directed,1,2018
approximate NoC,topology,Directed,1,2018
approximate NoC,NoC for manycore,Directed,1,2018
NoC for real-time (critical) systems,topology,Directed,1,2018
NoC for real-time (critical) systems,NoC for manycore,Directed,1,2018
emerge technology,flow control,Directed,1,2018
emerge technology,power/thermal management,Directed,1,2018
approximate NoC,flow control,Directed,1,2018
approximate NoC,power/thermal management,Directed,1,2018
NoC for real-time (critical) systems,flow control,Directed,1,2018
NoC for real-time (critical) systems,power/thermal management,Directed,1,2018
emerge technology,approximate NoC,Directed,1,2018
emerge technology,emerge technology,Directed,1,2018
emerge technology,Reliability,Directed,1,2018
approximate NoC,approximate NoC,Directed,1,2018
approximate NoC,emerge technology,Directed,1,2018
approximate NoC,Reliability,Directed,1,2018
NoC for real-time (critical) systems,approximate NoC,Directed,1,2018
NoC for real-time (critical) systems,emerge technology,Directed,1,2018
NoC for real-time (critical) systems,Reliability,Directed,1,2018
emerge technology,approximate NoC,Directed,1,2018
emerge technology,compression,Directed,1,2018
approximate NoC,approximate NoC,Directed,1,2018
approximate NoC,compression,Directed,1,2018
NoC for real-time (critical) systems,approximate NoC,Directed,1,2018
NoC for real-time (critical) systems,compression,Directed,1,2018
topology,topology,Directed,1,2016
topology,Routing,Directed,1,2016
topology,deadlock,Directed,1,2016
flow control,topology,Directed,1,2016
flow control,Routing,Directed,1,2016
flow control,deadlock,Directed,1,2016
topology,Reliability,Directed,1,2016
topology,Routing,Directed,1,2016
topology,topology,Directed,1,2016
flow control,Reliability,Directed,1,2016
flow control,Routing,Directed,1,2016
flow control,topology,Directed,1,2016
topology,performance,Directed,1,2016
topology,Reliability,Directed,1,2016
topology,Routing,Directed,1,2016
topology,topology,Directed,1,2016
flow control,performance,Directed,1,2016
flow control,Reliability,Directed,1,2016
flow control,Routing,Directed,1,2016
flow control,topology,Directed,1,2016
topology,Routing,Directed,1,2016
topology,Reliability,Directed,1,2016
topology,topology,Directed,1,2016
flow control,Routing,Directed,1,2016
flow control,Reliability,Directed,1,2016
flow control,topology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,NoC for memory,Directed,1,2016
Design space Exploration,flow control,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,NoC for memory,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,power consumption,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,Routing,Directed,1,2016
Design space Exploration,deadlock,Directed,1,2016
Design space Exploration,Emulation and Simulation/Simulator,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,emerge technology,Directed,1,2016
Design space Exploration,topology,Directed,1,2016
Design space Exploration,deadlock,Directed,1,2016
Design space Exploration,Routing,Directed,1,2016
Design space Exploration,Emulation and Simulation/Simulator,Directed,1,2016
Design space Exploration,mapping,Directed,1,2016
router design,flow control,Directed,1,2016
asynchronous,flow control,Directed,1,2016
router design,flow control,Directed,1,2016
asynchronous,flow control,Directed,1,2016
router design,GALS,Directed,1,2016
router design,flow control,Directed,1,2016
router design,power consumption,Directed,1,2016
asynchronous,GALS,Directed,1,2016
asynchronous,flow control,Directed,1,2016
asynchronous,power consumption,Directed,1,2016
router design,flow control,Directed,1,2016
router design,router design,Directed,1,2016
asynchronous,flow control,Directed,1,2016
asynchronous,router design,Directed,1,2016
power gating,NoC for manycore,Directed,1,2016
power gating,emerge technology,Directed,1,2016
power gating,Emulation and Simulation/Simulator,Directed,1,2016
power gating,Link,Directed,1,2016
power gating,router design,Directed,1,2016
power gating,modeling,Directed,1,2016
power gating,Emulation and Simulation/Simulator,Directed,1,2016
power gating,NoC for memory,Directed,1,2016
power gating,reconfiguration,Directed,1,2016
power gating,Routing,Directed,1,2016
power gating,reconfiguration,Directed,1,2016
power gating,reconfiguration,Directed,1,2016
power gating,reconfiguration,Directed,1,2016
power gating,topology,Directed,1,2016
power gating,flow control,Directed,1,2016
power gating,Reconfiguration,Directed,1,2016
power gating,router design,Directed,1,2016
power gating,NoC for manycore,Directed,1,2016
power gating,topology,Directed,1,2016
power gating,NoC for memory,Directed,1,2016
power gating,Emulation and Simulation/Simulator,Directed,1,2016
power gating,topology,Directed,1,2016
power gating,Routing,Directed,1,2016
power gating,flow control,Directed,1,2016
power gating,router design,Directed,1,2016
power gating,reconfiguration,Directed,1,2016
power gating,power consumption,Directed,1,2016
power gating,performance,Directed,1,2016
power gating,flow control,Directed,1,2016
power gating,Design space Exploration,Directed,1,2016
power management,reconfiguration,Directed,1,2016
NoC for architecture,reconfiguration,Directed,1,2016
power management,Reliability,Directed,1,2016
NoC for architecture,Reliability,Directed,1,2016
power management,NoC for different applications,Directed,1,2016
NoC for architecture,NoC for different applications,Directed,1,2016
power management,mapping,Directed,1,2016
power management,emerge technology,Directed,1,2016
power management,Link,Directed,1,2016
power management,topology,Directed,1,2016
NoC for architecture,mapping,Directed,1,2016
NoC for architecture,emerge technology,Directed,1,2016
NoC for architecture,Link,Directed,1,2016
NoC for architecture,topology,Directed,1,2016
power management,bio/ medical,Directed,1,2016
NoC for architecture,bio/ medical,Directed,1,2016
power management,NoC for different applications,Directed,1,2016
NoC for architecture,NoC for different applications,Directed,1,2016
modeling,flow control,Directed,1,2014
modeling,NoC for memory,Directed,1,2014
modeling,flow control,Directed,1,2014
modeling,emerge technology,Directed,1,2014
emerge technology,flow control,Directed,1,2014
emerge technology,router design,Directed,1,2014
emerge technology,deadlock,Directed,1,2014
emerge technology,router design,Directed,1,2014
emerge technology,Routing,Directed,1,2014
emerge technology,flow control,Directed,1,2014
emerge technology,Routing,Directed,1,2014
emerge technology,router design,Directed,1,2014
emerge technology,deadlock,Directed,1,2014
emerge technology,Routing,Directed,1,2014
emerge technology,power consumption,Directed,1,2014
emerge technology,flow control,Directed,1,2014
emerge technology,performance,Directed,1,2014
emerge technology,router design,Directed,1,2014
emerge technology,throughput,Directed,1,2014
emerge technology,distributed,Directed,1,2014
